pid,role,iso2,name,af_ids
418,player,kr,Lee Gi-hyuk,304951
419,player,kr,Song Bum-keun,34374
420,player,kr,Cho Wi-je,547307
421,coach,kr,Hong Myung-bo,10461
422,player,ba,Edin Džeko,790
423,player,ba,Nikola Vasilj,9026
424,player,ba,Nikola Katić,1741
425,player,ba,Amar Memić,322101
426,player,ba,Nihad Mujakić,76867
427,player,ba,Ivan Šunjić,1324
428,player,ba,Stjepan Radeljić,14301
429,player,ba,Martin Zlomislić,108370
430,player,ba,Jovo Lukić,77037
431,player,ba,Mladen Jurkas,446130
432,coach,ba,Sergej Barbarez,22538
433,player,ca,Cyle Larin,2001
434,player,ca,Jonathan Osorio,50817
435,player,ca,Richie Laryea,50816
436,player,ca,Tajon Buchanan,51016
437,player,ca,Alistair Johnston,78547
438,player,ca,Stephen Eustáquio,35570
439,player,ca,Derek Cornelius,51295
440,player,ca,Liam Millar,44798
441,player,ca,Maxime Crépeau,51274
442,player,ca,Jacob Shaffelburg,50826
443,player,ca,Ali Ahmed,362145
444,player,ca,Mathieu Choinière,50788
445,player,ca,Dayne St. Clair,51148
446,player,ca,Moïse Bombito,407017
447,player,ca,Niko Sigur,416901
448,player,ca,Joel Waterman,78494
449,player,ca,Nathan Saliba,294824
450,player,ca,Jayden Nelson,193279
451,player,ca,Promise David,313353
452,player,qa,Hassan Al-Haydos,2545
453,player,qa,Akram Afif,2544
454,player,qa,Abdulaziz Hatem,2533
455,player,qa,Homam Ahmed,175439
456,player,qa,Meshaal Barsham,42021
457,player,qa,Ahmed Fathy,2539
458,player,qa,Jassem Gaber,200981
459,player,qa,Sultan Al-Brake,42060
460,player,qa,Ahmed Al-Ganehi,42286
461,player,qa,Salah Zakaria,136503
462,player,qa,Al-Hashmi Al-Hussain,542542
463,player,qa,Mahmud Abunada,42207
464,player,qa,Ayoub Al-Oui,377930
465,player,qa,Tahsin Jamshid,423737
466,player,ch,Granit Xhaka,1464
467,player,ch,Ricardo Rodriguez,1631
468,player,ch,Remo Freuler,2807
469,player,ch,Manuel Akanji,5
470,player,ch,Nico Elvedi,2803
471,player,ch,Denis Zakaria,2810
472,player,ch,Rubén Vargas,48471
473,player,ch,Silvan Widmer,48378
474,player,ch,Djibril Sow,957
475,player,ch,Michel Aebischer,951
476,player,ch,Dan Ndoye,48648
477,player,ch,Zeki Amdouni,123469
478,player,ch,Fabian Rieder,163032
479,player,ch,Noah Okafor,48389
480,player,ch,Christian Fassnacht,952
481,player,ch,Eray Cömert,48372
482,player,ch,Gregor Kobel,25282
483,player,ch,Cedric Itten,48497
484,player,ch,Johan Manzambi,406244
485,player,ch,Miro Muheim,48489
486,player,ch,Ardon Jashari,264705
487,player,ch,Aurèle Amenda,162414
488,player,ch,Luca Jaquez,349344
489,coach,ch,Murat Yakin,1504
490,player,br,Neymar,276
491,player,br,Marquinhos,257
492,player,br,Casemiro,747
493,player,br,Alisson,280
494,player,br,Danilo Luiz,618
495,player,br,Lucas Paquetá,1646
496,player,br,Vinícius Júnior,762
497,player,br,Alex Sandro,860
498,player,br,Bruno Guimarães,10135
499,player,br,Raphinha,1496
500,player,br,Fabinho,299
501,player,br,Ederson Moraes,617
502,player,br,Matheus Cunha,1165
503,player,br,Gabriel Martinelli,127769
504,player,br,Gabriel Magalhães,22224
505,player,br,Endrick,377122
506,player,br,Luiz Henrique,265785
507,player,br,Weverton,2410
508,player,br,Bremer,30497
509,player,br,Douglas Santos,24866
510,player,br,Roger Ibañez,30424
511,player,br,Léo Pereira,10124
512,player,br,Danilo Santos,275170
513,player,br,Igor Thiago,196156
514,player,br,Éderson Silva,10097
515,player,br,Rayan,407806
516,player,ht,Ricardo Adé,12303
517,player,ht,Carlens Arcus,20850
518,player,ht,Frantzdy Pierrot,8601
519,player,ht,Louicius Deedson,128766
520,player,ht,Danley Jean Jacques,338367
521,player,ht,Carl Sainté,540857
522,player,ht,Wilguens Paugain,275367
523,player,ht,Hannes Delcroix,1411
524,player,ht,Woodensky Pierre,371050
525,player,ma,Ayoub El Kaabi,2722
526,player,ma,Azzedine Ounahi,129678
527,player,ma,Soufiane Rahimi,36579
528,player,ma,Youssef Belammari,146772
529,player,ma,Marwane Saâdane,50042
530,player,ma,Ahmed Reda Tagnaouti,2703
531,player,ma,Amine Sbaï,191289
532,player,gb-sct,Andy Robertson,289
533,player,gb-sct,John McGinn,19191
534,player,gb-sct,Craig Gordon,1106
535,player,gb-sct,Grant Hanley,19066
536,player,gb-sct,Ryan Christie,1125
537,player,gb-sct,Kenny McLean,19077
538,player,gb-sct,Scott McKenna,44811
539,player,gb-sct,Jack Hendry,1111
