lat,lon,population
40.38036,44.04591,172
40.21436,44.57846,58800
40.15008,44.26672,2098
40.12231,45.35553,4311
40.2976,44.36152,17600
41.0377,43.85843,3325
40.33069,43.91669,1346
40.29636,44.5958,3417
40.45007,44.60828,2648
40.61918,43.97207,18145
40.2973,43.76672,3625
40.4779,44.40008,1004
40.11108,44.18329,1169
40.8346,44.04614,1207
40.16949,44.21393,4300
40.23356,44.58209,7626
40.60947,44.00308,1171
40.37116,44.59618,3245
40.15289,44.4389,2041
40.0611,44.09448,2617
40.65345,44.04419,1906
40.03963,44.54179,1717
40.7417,43.9043,1600
40.1001,44.09448,3018
40.86039,44.27438,2460
40.13984,44.3744,2016
40.86118,44.37587,1086
41.16351,44.87631,1088
40.13892,44.40289,2257
40.04169,44.14728,1749
40.78276,43.80583,1501
40.25095,44.66351,4129
40.05548,44.30292,2115
40.40289,44.54449,1158
40.48889,44.3529,3643
40.32121,43.66205,6580
40.21948,44.23328,2835
40.59297,44.35945,6167
40.09729,44.25293,2105
40.65008,43.98053,2023
40.08331,43.96668,1069
40.95566,43.78379,1651
41.09766,44.67316,12152
40.4223,44.63348,2021
40.68082,44.28797,406
40.26672,44.6861,2396
40.16056,45.72707,3712
41.08976,44.6173,2314
40.78081,43.90037,9619
40.74212,43.77674,1080
41.2172,44.91376,1149
41.14952,44.78168,2395
40.2333,44.25295,3750
40.57848,44.69948,1279
40.3139,44.25568,1613
40.20007,44.23053,1352
40.84291,45.16132,3563
41.01072,44.46845,1221
40.33069,44.07233,1100
40.30191,44.27923,1998
40.1875,45.19389,2785
40.98781,45.14952,4304
40.2717,44.63342,50556
40.04851,44.54742,1319
40.97083,44.50889,1062
40.08533,44.57957,1309
40.02787,44.52565,1588
40.10553,44.43329,2625
40.98847,45.2067,2923
40.77851,44.93838,1484
40.83947,45.47033,2797
40.24011,43.87102,2359
40.28749,44.07798,1284
40.30011,44.38892,1861
40.25012,44.34448,2571
40.23307,44.51129,7483
40.23555,44.45162,6756
40.19608,43.85409,1031
40.18048,43.91949,4582
40.08331,43.93048,1032
40.12512,43.96393,1765
40.10828,44.16388,2117
40.14459,44.11484,9450
40.08444,44.30528,3723
40.19324,44.36934,3166
40.1557,44.37793,3287
40.10553,44.41388,2825
40.1001,44.39172,2108
40.09168,44.4057,1332
40.09659,44.4646,10433
39.99772,44.49349,1557
40.10479,45.2855,6025
40.13367,44.19957,2470
40.12824,44.22803,3031
40.09275,44.29157,1688
40.07233,44.30829,1418
40.09729,44.34448,4242
40.07507,44.40008,2376
40.14172,44.33069,3223
40.11307,44.27169,2221
40.24177,44.27128,1645
40.1889,44.38611,1592
40.1874,44.20952,397
40.22229,44.13348,1432
40.30046,44.55787,1146
40.16078,44.43435,2976
40.24387,44.5741,1073
40.02508,44.45007,1141
40.00848,44.4917,1156
40.02789,44.48328,2502
40.03607,44.46948,1383
40.07386,44.49731,1238
40.1381,44.42795,1541
40.06102,44.57544,1476
40.13309,44.53009,129700
40.19661,44.5669,137300
